# word_ky word_ru word_en definition
Либертарианизм Либертарианство Libertarianism  илим жана (жарык анархо; .. From Latin Libertas - "эркин") негизги мыйзамы катары эркиндигин колдоо саясаты илим жана кыймылдардын жыйындысы. Секуярчылар тандоо эркиндиги, ыктыярдуу биригүү, жеке сот жана менчик басым жасоо менен саясий эркиндикке жана өз алдынчалыгын, көбөйтүүгө аракет жасашат.
Социализм Социализм Socialism  (French socialisme латын socialis тартып "коомдук" ...) - доктрина коомдук адилеттүүлүк, эркиндик жана бирдей максатын жана идеяны positing [1] кандый боюнча, ошондой эле ушул негизги чагылдырат коомдук системасын, түшүнөм.

Синдикализм Синдикализм Syndicalism  синдикализмге - экономикалык системанын белгилүү бир түрү, кандый бир түрү, капитализм гипотетикалык алмаштыруу. Бул түшүнүк ишине ылайык, өнөр жай жана уюмдар биригүү же синдикат уюшкан керек.
Минархизм Минархизм Minarchism  (English minarchism; латын minimus - майда + Байыркы грек ἄρχη - башталышы, электр ...) - мамлекеттин иш-милдеттери жана ыйгарым укуктары аз, жашаган ар бир жарандын жана адамдын эркиндигин жана мүлктү коргоо менен чектелген болушу керек окуу аймак.
Коомдук-либерализм Социал-либерализм Social-liberalism  экономикалык мамлекеттик тоскоолдукту камдуу либерализмдин бир түрү. саясий спектри боюнча, эреже катары, коомдук демократиянын укугу болуп саналат.
Жеке-бийлик Автократия Autocracy  бийликтин бир түрү, бир адамдын же бир тарабынан бийликтин абсолюттук контролдоо боюнча чыгымдар, анын негизин, мисалы, бир партиялуу парламентке же президенттик республика деп. Жеке бийлиги - тоталитардык режимге демократиянын бир өткөөл баскыч, жана тескерисинче.
Тоталитаризм Тоталитаризм Totalitarism  саясий режим мамлекеттик жана жеке жашоонун бардык тармактарында үстүнөн жалпы мамлекеттик контролдукту түшүндүрөт. саясий илимдер Тоталитаризм - саясий бийликтин коом менен бийликтин өз ара түрү компаниясы толугу менен көзөмөлгө алып, адам жашоосунун бардык тармактарында толук көзөмөл.
Демократия Демократия Democracy  Соттук териштирүүнүн катышуучуларын-жылдын жыйынтыгы боюнча же анын олуттуу сахнада бирдей таасири менен жамааттык чечимдерди кабыл алуу ыкмасы негизинде саясий режим.
Милитаризм Милитаризм Militarism  мамлекеттик идеология, саясат жана массалык психология, мамлекеттин өзүн-өзү жетиштүү аскердик өнүгүшүнөн улам жана тышкы саясатынын негизги инструменти катары баскынчыл согуштун багытталган.
Пацифизм Пацифизм Pacifism  анын жоголуп үчүн зордук-зомбулуктун идеологиясынын каршылык. Күрөшкөн кыймыл, тынчтык кыймылы - аскердик ашкерелейт каршы согуш коомдук кыймыл саясий чыр-чатактарды, мындай ыкмаларын ахлаксыз жокко атап чечүү дегенди билдирет.
